node,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
1,-14.744192714236984,-16.621516545689335,33.26266729310916,17.168069753427933,-2.62844203418437,14.526319764209923,14.87848620966368,-4.050790779314442,0.22600405573051988,-3.4569102879520632,-0.4003727956130379,0.013578761043380853,-0.4457613341325624,1.1161195090238611,-0.9355604762157964
2,-6.809913126065607,1.5341074864567752,3.8564211200355336,-1.8527152436482033,1.5458299564964604,1.353363486298666,-0.38399808350344156,2.1921911942075085,-1.8823266497895175,-1.07670956373108,-0.9313647148317565,-0.4012672221564147,-0.8951165518951397,2.2568518574029186,-1.0617428566287521
3,-7.123385753342869,0.5765884209373623,-2.4122000485961403,2.751060844841587,-3.6190082919953652,0.6684953430228006,-3.034956725768022,1.1919703586126142,-3.8694126814419967,-0.638142568748589,1.75844417033942,0.26793886095223896,-0.4062225357355721,2.1894645947840163,0.5319595563915746
4,-8.18415154994847,-0.804554319522124,0.5204696028058377,0.08427622384359817,-0.7068881035488997,1.0035527464622103,0.5319111595167947,2.442315956632978,1.4567301537366635,2.184907466444511,0.7539028048393382,-2.069635487482783,0.2215087197990202,0.3372340317362519,-1.1687384671198917
5,-7.699339026412097,-0.06035373318824714,2.486382027256101,0.8586206550702156,-2.067335516017148,0.21672312283908732,-1.911942735533746,-1.4246056255061534,-0.5377380568470466,-1.6252229323312244,0.2383182629660946,-0.7006997062832409,-1.0853770041220288,0.7405427388277743,1.5923824341442738
6,7.744772735573154,2.7678721165005045,0.5693297429623694,1.4289675321684483,3.3623069032023016,-5.296206980601231,3.4298320899421144,2.082139370781686,1.3897350833178181,-2.3551511083031684,3.083601256481531,0.795078735121184,2.981854804150775,0.06476849283985074,1.2320515940286911
7,7.751583141237148,5.2795787021317215,-2.922117122286413,5.976738654416426,0.6188871773532342,-5.56740337002955,2.39659417378308,-1.540153807959142,0.41762027350014336,-1.7857647593589687,-1.4653715098424256,-1.024847901782809,-2.2721596389719663,-3.222688409157489,-2.1532003899887355
8,9.545411141407953,-4.791060116174083,-0.7339838976637512,0.416872772792561,-2.474706494393147,0.1553366639180511,-2.4997379240967126,1.880684571406927,2.8322837873691875,-1.3989213411797157,-3.9646518228356347,0.5209322329792351,1.1514043378510985,-0.35422977474268946,3.4555661974047323
9,-7.49433786776246,-1.395862933127708,2.2393292249144934,0.3576031694862886,-1.8417988295616807,0.9688729916091849,-2.991859030375512,5.680732371538226,1.7042465955217387,2.1363293965975,1.065138808679627,-1.4442756818556617,1.2446675702124392,-2.2065744626339674,-1.0831411406610927
10,9.859558029157222,-0.40976928184910855,-5.881235758914642,3.0308793491835235,-1.8353246365304792,1.8126597581189519,0.33713866895778943,1.907588107484962,0.9664294596665471,0.054641489145407465,1.216636652467564,3.3430766273585544,1.3332691897929363,0.2482395018452017,-0.615272899427893
11,7.338523800689691,-0.6022684591916488,1.1328115804243049,-3.225922764107864,0.8558743661927,0.5764223212276344,-2.6832379687966825,-1.6195859257304632,-2.1065854169195077,-1.4079308874425087,-0.31196075982075505,1.6729246826948572,2.3312093031392225,1.9609381735393154,-0.8737502153618072
12,-4.855851848696491,1.3764053785735508,2.6957288688678593,-1.9472074650727578,1.3055899782216895,0.012706696902862545,1.5448458267691851,3.8522528565829,-1.2060470876385736,0.026065583661673223,-0.7538048853253361,1.8196261770027533,-0.48727870096735065,0.5106232399127256,-2.0466680775870256
13,-8.022724449153555,-1.0089472685394996,1.4229388137144912,0.5527158231901672,0.2028301391306851,-3.76730284854636,-2.4510733619500544,-2.0667526871262836,-1.8695082857757415,-1.6587708967341237,2.229422313624969,1.5979633582289643,-0.4518900121109061,0.25204399422082013,2.5127118818340075
14,9.403588561706352,7.862764700095275,-1.1228009088573991,1.4926584649437409,0.3653133232879129,2.9938517888505825,-1.1116255623947946,1.5356742004304471,-0.6024940234188648,-1.0540580440615872,-0.6143086416618879,-0.31639906143119795,-1.0899222701834361,-0.6008859575614167,0.14352134305079442
15,-4.593665586903438,2.1499807746593578,-3.4577329325677946,0.7716034118065459,3.3088144522101763,2.4053213464192686,0.5862907290462265,-0.25375488023408,2.1002986243791777,-2.319623958700823,2.2057881318385473,1.0331022088949602,2.2372920808287025,-0.42783281377327526,2.1379264645841163
16,6.812685011765335,0.17566181624989669,-1.0086809365008524,0.9768373664727146,-2.719463307792491,-3.425282922801524,-0.5490821165597863,-0.9649653428771653,3.6868186734943498,-1.646232707224376,-0.5336821018191431,4.027319827417864,-1.6590087936208147,-0.9450707575909009,-2.3361983768153696
17,6.936869220230322,-4.43963859017648,1.174221014582567,-0.45399377616718,1.9262953269474272,1.4712641356247946,2.2497511950634927,-1.537656041428691,0.11579786298520825,1.9470921470292897,1.9505542712977129,-3.0942580597381384,0.9054696407403212,1.556861027443844,2.537261516930669
18,-5.5869479866162335,-1.6185882349803462,-3.5610312420424304,3.4700366862260026,-0.33763240325883115,4.576817975155537,-1.8443678765072786,-1.927162978803925,1.112762284326529,-3.241074259424223,0.6431154036463268,-2.620351989168005,4.5737104837202,-0.28733375714512355,-0.7838785430333458
