node,UMAP1,UMAP2
247,5.071204,-4.221960
248,-2.399313,2.136442
249,-5.056418,2.868571
250,-4.107965,3.573563
251,5.037700,-3.403592
252,-2.163164,3.288629
253,0.524641,-0.300614
254,-1.033340,-0.734614
255,-3.252425,-0.106994
256,-6.121079,1.760234
257,-5.963334,2.110888
258,-3.952178,1.373939
259,5.990317,0.214357
260,-5.366021,4.640818
261,4.695575,-3.782188
262,-2.491448,3.291599
263,-3.448026,4.241515
264,-5.856114,2.655752
265,4.279169,-4.364438
266,-4.717126,1.255105
267,-5.974294,1.050239
268,-5.236397,2.846293
269,-5.641788,3.807043
270,-4.269691,-0.793250
271,-4.118152,4.803927
272,4.357042,-3.640968
273,6.196906,2.948529
274,-2.501473,2.577589
275,-0.576720,3.487360
276,3.935451,-6.939167
277,5.095519,-6.087952
278,5.115197,-6.253870
279,-0.889326,2.016640
280,5.631973,-5.259299
281,-5.247414,2.166076
282,-6.267680,1.057465
283,-3.379652,4.148552
284,-2.237094,1.482110
285,-1.070143,1.288142
286,-4.732127,1.710948
287,-3.822647,3.121731
288,4.337389,-6.769704
289,-3.566147,-1.650020
290,-6.452197,0.100781
291,-4.581186,-0.333198
292,5.378357,-4.407145
293,-5.770738,1.740257
294,-4.088994,2.271060
295,-4.077143,-0.998278
296,-1.448149,1.446568
297,-4.507069,-0.661993
298,4.108759,-3.778205
299,-5.263262,0.861340
300,6.366720,2.445327
301,5.136460,-6.638122
302,-3.093537,3.241340
303,5.996218,-2.731049
304,4.978470,-4.760360
305,-4.755490,2.276895
306,-1.964206,6.047276
307,5.991937,1.760385
308,-0.832638,1.338088
309,-4.891863,2.405326
310,6.322839,2.581420
311,-4.060283,4.474705
312,5.101477,-5.493604
313,5.396635,2.641431
314,-1.437584,3.723562
315,5.592195,-4.974688
316,4.041377,-4.785849
317,5.933438,-7.203702
318,4.624407,-1.448295
319,5.237345,-6.768234
320,-4.569356,3.662685
321,6.161373,0.331691
322,-2.096240,1.802547
323,-2.654756,1.314480
324,-8.145752,0.534563
325,2.143024,-3.467407
326,3.783432,-4.676635
327,-4.418081,2.691309
328,3.870504,-4.917610
329,-3.728669,4.972359
330,7.858856,-4.954262
331,-2.722038,1.599924
332,-4.661442,2.312692
333,-2.248401,3.477850
334,-4.394859,-1.156212
335,-1.949283,2.003399
336,5.734016,-5.453685
337,5.814743,-6.561472
338,-4.404818,3.935265
339,-3.443808,3.740717
340,5.880551,2.536118
341,-3.250897,2.990589
342,6.446848,1.796143
343,-1.765752,2.592665
344,-4.128770,-1.108999
345,-4.890147,-0.744036
346,5.794973,3.941686
347,-4.619615,3.904408
348,5.143028,-3.507017
349,6.139440,1.462950
350,5.541896,-5.196652
351,-5.588480,1.692153
352,-4.672787,4.216846
353,-2.569200,1.990312
354,6.715864,-5.130328
355,-4.455221,4.920104
356,-2.471522,1.820158
357,-5.506658,3.942948
358,-8.087392,0.600878
359,-3.348350,1.707164
360,-1.502778,2.748915
361,-5.029723,-0.166681
362,-5.651327,2.431943
363,-2.743862,2.271339
364,5.367302,3.170750
365,-1.844177,1.853661
366,5.684030,-7.218342
367,-4.849100,1.798637
368,6.206474,-2.750517
369,-5.458859,1.249692
370,-5.524377,4.573657
371,5.078627,-4.534066
372,4.874407,-5.538401
373,3.274964,-4.493846
374,6.096206,0.957495
375,-2.878471,3.259373
